Filtering the log data using "process == "GestioneViaggi""
Timestamp                       (process)[PID]    
2025-12-23 19:06:03.487015+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf12c0] invalidated after the last release of the connection object
2025-12-23 19:06:03.487620+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Appearance] NSApp cache appearance:
-NSRequiresAquaSystemAppearance: 0
-appearance: (null)
-effectiveAppearance: <NSCompositeAppearance: 0xb45474780
 (
    "<NSDarkAquaAppearance: 0xb45474500>",
    "<NSAccessibilitySystemAppearance: 0xb454746e0>",
    "<NSDarkAquaAppearance: 0xb45474640>",
    "<NSSystemAppearance: 0xb454745a0>"
)>
2025-12-23 19:06:03.488443+0200  localhost GestioneViaggi[25402]: (CoreFoundation) Created Activity ID: 0x2b16aa4, Description: Loading Preferences From User CFPrefsD
2025-12-23 19:06:03.489012+0200  localhost GestioneViaggi[25402]: (RunningBoardServices) [com.apple.runningboard:general] Added observer for process assertions expiration warning: <_RBSExpirationWarningClient: 0xb43830b60>
2025-12-23 19:06:03.501111+0200  localhost GestioneViaggi[25402]: (CoreFoundation) Created Activity ID: 0x2b16aa5, Description: Updating Key-Value Observers Of Preferences
2025-12-23 19:06:03.519135+0200  localhost GestioneViaggi[25402]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] Registering for test daemon availability notify post.
2025-12-23 19:06:03.519261+0200  localhost GestioneViaggi[25402]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-12-23 19:06:03.519314+0200  localhost GestioneViaggi[25402]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-12-23 19:06:03.519365+0200  localhost GestioneViaggi[25402]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-12-23 19:06:03.525565+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.525797+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.525833+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.525852+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.525867+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.526086+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.526107+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.526121+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.526258+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.526361+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.526372+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.526381+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.526398+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.526412+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.526426+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:Menu] Internal inconsistency in menus - menu <private> believes it has <private> as a supermenu, but the supermenu does not seem to have any item with that submenu
2025-12-23 19:06:03.530142+0200  localhost GestioneViaggi[25402]: (GenerativeModels) [com.apple.GenerativeModels:availability] registering darwin observer for name: com.apple.gms.availability.notification
2025-12-23 19:06:03.530809+0200  localhost GestioneViaggi[25402]: (GenerativeModels) [com.apple.GenerativeModels:availability] registering darwin observer for name: com.apple.os-eligibility-domain.change.greymatter
2025-12-23 19:06:03.530821+0200  localhost GestioneViaggi[25402]: (GenerativeModels) [com.apple.GenerativeModels:availability] registering darwin observer for name: com.apple.language.changed
2025-12-23 19:06:03.530838+0200  localhost GestioneViaggi[25402]: (WritingToolsUI) [com.apple.WritingTools:Default] isAvailable value changed: isMDMAllowed = true, gmAvailable (current) = true
